Stu_Ach_Rat,Rigor,Collab_Teachers,Supp_Env
4,0.86,0.91,0.87
3,0.84,0.83,0.93
4,0.7,0.71,0.84
3,0.81,0.84,0.86
4,0.95,0.95,0.92
4,0.91,0.92,0.87
4,0.79,0.73,0.81
4,0.82,0.81,0.75
4,0.75,0.69,0.76
3,0.97,0.96,0.95
3,0.96,0.99,0.96
4,0.91,0.88,0.82
4,0.89,0.87,0.78
3,0.97,0.94,0.95
3,0.83,0.8,0.72
3,0.83,0.81,0.62
3,0.88,0.78,0.86
3,0.94,0.95,0.9
3,0.84,0.7,0.69
4,0.79,0.77,0.7
4,0.72,0.65,0.68
3,0.72,0.66,0.68
2,0.86,0.79,0.74
4,0.81,0.73,0.72
2,0.8,0.81,0.59
4,0.87,0.87,0.77
4,0.86,0.75,0.76
3,0.93,0.94,0.96
4,0.79,0.79,0.86
3,0.94,0.96,0.9
4,0.95,0.95,0.96
4,0.87,0.86,0.95
4,0.87,0.73,0.7
4,0.87,0.85,0.75
3,0.94,0.89,0.94
4,0.94,0.92,0.87
4,0.93,0.84,0.86
4,0.94,0.93,0.92
3,0.9,0.85,0.75
4,0.92,0.89,0.92
4,0.71,0.79,0.83
3,0.75,0.71,0.69
4,0.84,0.91,0.9
4,0.88,0.91,0.79
4,0.86,0.83,0.91
4,0.89,0.79,0.84
4,0.97,0.95,0.95
4,0.91,0.9,0.92
4,0.95,0.93,0.91
4,0.97,0.97,0.93
4,0.86,0.81,0.82
4,0.96,0.98,0.96
3,0.91,0.87,0.79
2,0.76,0.73,0.72
3,0.76,0.72,0.68
2,0.57,0.5,0.61
3,0.9,0.88,0.82
3,0.77,0.77,0.74
3,0.92,0.93,0.94
4,0.92,0.9,0.91
3,0.85,0.85,0.88
4,0.86,0.84,0.83
3,0.9,0.91,0.9
3,0.91,0.93,0.85
4,0.94,0.95,0.9
3,0.89,0.85,0.84
4,0.94,0.79,0.82
4,0.82,0.84,0.8
4,0.9,0.88,0.89
